ICD_Code	DisplayName
A49.02	Methicillin resistant Staphylococcus aureus infection, unspecified site
A63.0	Anogenital (venereal) warts
B00.0	Eczema herpeticum
B00.1	Herpesviral vesicular dermatitis
B00.50	Herpesviral ocular disease, unspecified
B00.89	Other herpesviral infection
B02.29	Other postherpetic nervous system involvement
B02.9	Zoster without complications
B07.0	Plantar wart
B07.8	Other viral warts
B08.1	Molluscum contagiosum
B09	Unspecified viral infection characterized by skin and mucous membrane lesions
B35.1	Tinea unguium
B35.2	Tinea manuum
B35.3	Tinea pedis
B35.4	Tinea corporis
B35.6	Tinea cruris
B35.8	Other dermatophytoses
B36.0	Pityriasis versicolor
B36.8	Other specified superficial mycoses
B37.2	Candidiasis of skin and nail
B78.0	Intestinal strongyloidiasis
B85.0	Pediculosis due to Pediculus humanus capitis
B95.61	Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified elsewhere
C00.0	Malignant neoplasm of external upper lip
C00.1	Malignant neoplasm of external lower lip
C00.6	Malignant neoplasm of commissure of lip, unspecified
C43.39	Malignant melanoma of other parts of face
C43.4	Malignant melanoma of scalp and neck
C43.59	Malignant melanoma of other part of trunk
C43.61	Malignant melanoma of right upper limb, including shoulder
C43.62	Malignant melanoma of left upper limb, including shoulder
C43.9	Malignant melanoma of skin, unspecified
C44.01	Basal cell carcinoma of skin of lip
C44.1122	Basal cell carcinoma of skin of right lower eyelid, including canthus
C44.1191	Basal cell carcinoma of skin of left upper eyelid, including canthus
C44.1192	Basal cell carcinoma of skin of left lower eyelid, including canthus
C44.212	Basal cell carcinoma of skin of right ear and external auricular canal
C44.219	Basal cell carcinoma of skin of left ear and external auricular canal
C44.229	Squamous cell carcinoma of skin of left ear and external auricular canal
C44.311	Basal cell carcinoma of skin of nose
C44.319	Basal cell carcinoma of skin of other parts of face
C44.321	Squamous cell carcinoma of skin of nose
C44.329	Squamous cell carcinoma of skin of other parts of face
C44.41	Basal cell carcinoma of skin of scalp and neck
C44.42	Squamous cell carcinoma of skin of scalp and neck
C44.49	Other specified malignant neoplasm of skin of scalp and neck
C44.511	Basal cell carcinoma of skin of breast
C44.519	Basal cell carcinoma of skin of other part of trunk
C44.529	Squamous cell carcinoma of skin of other part of trunk
C44.599	Other specified malignant neoplasm of skin of other part of trunk
C44.612	Basal cell carcinoma of skin of right upper limb, including shoulder
C44.619	Basal cell carcinoma of skin of left upper limb, including shoulder
C44.622	Squamous cell carcinoma of skin of right upper limb, including shoulder
C44.629	Squamous cell carcinoma of skin of left upper limb, including shoulder
C44.712	Basal cell carcinoma of skin of right lower limb, including hip
C44.719	Basal cell carcinoma of skin of left lower limb, including hip
C44.722	Squamous cell carcinoma of skin of right lower limb, including hip
C44.729	Squamous cell carcinoma of skin of left lower limb, including hip
C44.799	Other specified malignant neoplasm of skin of left lower limb, including hip
C44.91	Basal cell carcinoma of skin, unspecified
C44.92	Squamous cell carcinoma of skin, unspecified
C44.99	Other specified malignant neoplasm of skin, unspecified
C50.011	Malignant neoplasm of nipple and areola, right female breast
C50.112	Malignant neoplasm of central portion of left female breast
C79.2	Secondary malignant neoplasm of skin
C79.89	Secondary malignant neoplasm of other specified sites
C84.00	Mycosis fungoides, unspecified site
C84.A0	Cutaneous T-cell lymphoma, unspecified, unspecified site
D00.01	Carcinoma in situ of labial mucosa and vermilion border
D03.39	Melanoma in situ of other parts of face
D03.4	Melanoma in situ of scalp and neck
D03.59	Melanoma in situ of other part of trunk
D03.61	Melanoma in situ of right upper limb, including shoulder
D03.62	Melanoma in situ of left upper limb, including shoulder
D04.122	Carcinoma in situ of skin of left lower eyelid, including canthus
D04.39	Carcinoma in situ of skin of other parts of face
D04.4	Carcinoma in situ of skin of scalp and neck
D04.5	Carcinoma in situ of skin of trunk
D04.61	Carcinoma in situ of skin of right upper limb, including shoulder
D04.62	Carcinoma in situ of skin of left upper limb, including shoulder
D04.71	Carcinoma in situ of skin of right lower limb, including hip
D04.72	Carcinoma in situ of skin of left lower limb, including hip
D04.9	Carcinoma in situ of skin, unspecified
D10.0	Benign neoplasm of lip
D16.4	Benign neoplasm of bones of skull and face
D16.9	Benign neoplasm of bone and articular cartilage, unspecified
D17.0	Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck
D17.1	Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk
D17.20	Benign lipomatous neoplasm of skin and subcutaneous tissue of unspecified limb
